description,image,title
"L’Espace Mendès France, le centre poitevin spécialisé dans la médiation scientifique, expérimente de nouveaux formats pour apporter la science au plus près du terrain. Test grandeur nature avec un jeu de piste destiné aux adolescents de Bel-Air, un secteur enclavé de la préfecture charentaise.",https://img.lemde.fr/2021/11/25/0/0/5976/3984/110/74/60/0/d51354f_308416992-l1008597.jpg,"A Angoulême, un atelier mobilité pour ouvrir de nouveaux horizons aux jeunes des quartiers"
"Orchestrée par le centre poitevin spécialisé dans la médiation scientifique, cette matinée de débats a lieu à Paris, à l’auditorium du « Monde », partenaire de l’événement. Chercheurs et acteurs de terrain vont croiser leurs expériences sur le rapport, souvent ambivalent, du grand public à la science. A cette occasion, « Le Monde » publie six tribunes d’universitaires, de scientifiques ou de médiateurs culturels pour ouvrir la réflexion.",https://img.lemde.fr/2021/11/26/0/0/5976/3984/110/74/60/0/4a12acd_361573816-l1008881.jpg,"« Dialogues sciences & société », une conférence organisée par l’Espace Mendès France et « Le Monde » le 30 novembre"
"L’Organisation mondiale de la santé estime que le variant du SARS-CoV-2 présente un nombre de mutations « sans précédent », dont plusieurs « sont préoccupantes en raison de leur impact potentiel sur la trajectoire de l’épidémie » de Covid-19.",https://img.lemde.fr/2021/11/29/0/0/3500/2333/110/74/60/0/9c508bb_ggg-aus101-health-coronavirus-australia-1129-11.jpg,"Omicron : le nouveau variant détecté dans de plus en plus de pays, l’OMS s’inquiète d’un « risque très élevé » à l’échelle planétaire"
"Résumé de l’état des connaissances sur B.1.1.529, détecté en Afrique australe et qui se propage rapidement sur toute la planète.",https://img.lemde.fr/2021/11/29/0/9/612/408/110/74/60/0/5654570_323509169-1f269362-omicron-nouveau-variant-b-1-1-529-sars-cov-2-covid-19-coronavirus-prote-ine-spike-s-spicule-mutations-afrique-du-sud-afrique-australie.jpg,Ce que la science permet déjà de savoir sur le variant Omicron
"Un homme ayant consommé des champignons en 2015 s’est vu diagnostiquer une sclérose latérale amyotrophique, ou maladie de Charcot. Mais les symptomes ont progressivement disparu.",https://img.lemde.fr/2021/11/27/25/0/640/426/110/74/60/0/1e230dd_603432748-1dd36221-scle-rose-late-rale-amyotrophique-champignons-morilles-fausses-morelles-neurologie-gyromitres-gyromitre-gyromitra-gigas-gygomitra-esculenta.jpg,Une intoxication par des champignons entraîne des troubles moteurs mimant une sclérose latérale amyotrophique
"Le 15 novembre, les Russes détruisaient un satellite soviétique. Le nuage de débris que l’explosion a engendré a donné quelques sueurs froides aux astronautes de l’ISS. Pourquoi les débris spatiaux sont-ils dangereux ? L’un d’eux pourrait-il un jour causer une catastrophe ? Pierre Barthélémy, journaliste Sciences au « Monde », revient en podcast sur cette histoire.",https://img.lemde.fr/2021/11/25/0/0/1800/1200/110/74/60/0/7fa8c42_330317172-satellite-podcast.png,Débris spatiaux : une catastrophe finira-t-elle par arriver ?
"Un an après la signature des Accords d’Abraham, le roi Mohammed VI a annoncé vouloir « mettre à profit ses relations privilégiées » avec toutes les parties du conflit.",https://img.lemde.fr/2021/11/30/0/0/2250/1500/110/74/60/0/fecb7fe_278284556-000-9tb4y4.jpg,Le Maroc disposé à favoriser une reprise des négociations entre Israël et Palestiniens
"Pékin a également annoncé des dizaines de projets dans les domaines de la santé, du numérique et de la sécurité, ainsi qu’une annulation de dette.",https://img.lemde.fr/2021/11/30/1/0/3600/2400/110/74/60/0/9ccc2a0_851272081-000-9tl6ze.jpg,Le président chinois promet à l’Afrique un milliard de doses anti-Covid
"Le groupe « Regards de la jeune génération sur les mémoires franco-algériennes », constitué par des descendants de militaires français, de harkis, de rapatriés ou de combattants du FLN, devait remettre ses propositions au chef de l’Etat. Verbatim.",https://img.lemde.fr/2021/11/29/1/0/2000/1333/110/74/60/0/fffae68_486629328-prod-94.jpeg,Guerre d’Algérie : les propositions du groupe « Regards de la jeune génération sur les mémoires franco-algériennes » à Emmanuel Macron
"L’information figure dans un rapport du Service européen pour l’action extérieure, alors que Bruxelles étudie des sanctions contre le groupe de mercenaires russes.",https://img.lemde.fr/2021/11/29/0/0/4500/3000/110/74/60/0/5da1059_42164866-000-92a9fa.jpg,"En Centrafrique, un bataillon formé par l’UE serait sous la coupe de Wagner"
"Depuis plusieurs mois, de jeunes Français, Algériens ou binationaux, descendants de militaires, de harkis, de rapatriés ou de combattants du FLN, travaillent ensemble sur la guerre d’Algérie. Objectif : parvenir à une mémoire apaisée. Ils remettent mardi leurs propositions à Emmanuel Macron.",https://img.lemde.fr/2021/11/29/4/0/5974/3982/110/74/60/0/a6f5009_452812872-4.JPG,La thérapie mémorielle des petits-enfants de la guerre d’Algérie
"La compétition débute mardi 30 novembre au Qatar, cinq semaines avant le coup d’envoi de la Coupe d’Afrique des nations au Cameroun.",https://img.lemde.fr/2021/11/29/0/0/5472/3648/110/74/60/0/1667a38_782134436-000-9t966h.jpg,"Football : la Coupe arabe, répétition avant la CAN pour six sélections africaines"
"L’opération a coûté environ 1 million de dollars et a impliqué 80 personnes, dont des vétérinaires et des spécialistes du transport d’animaux sauvages.",https://img.lemde.fr/2021/11/29/1/0/5000/3333/110/74/60/0/ea024cb_625226901-000-9tl8mh.jpg,"Trente rhinocéros blancs introduits, en Boeing 747, au Rwanda"
La mesure concerne 296 personnes condamnées – détenues ou non – et était l’une des « conditions » posées par des groupes rebelles pour participer au dialogue national.,https://img.lemde.fr/2021/04/21/0/150/1620/1080/110/74/60/0/f1fbf7a_822580628-249066.jpg,"Au Tchad, amnistie générale pour des rebelles et opposants"
"Pierre Boisselet, spécialiste des groupes armés en République démocratique du Congo, revient sur l’intensification des violences dans la province de l’Ituri.",https://img.lemde.fr/2021/11/29/0/0/3600/2400/110/74/60/0/6baee29_797769396-000-8qg3vd.jpg,Est de la RDC : « L’approche militaire risque de renforcer les groupes armés plutôt que de les détruire »
"Ces personnes accueillies au nom du regroupement familial sont des Falashmoras, une communauté convertie de force au christianisme et qui affirme descendre des juifs d’Ethiopie.",https://img.lemde.fr/2021/11/29/11/0/4600/3066/110/74/60/0/3f4d505_633931556-000-nic6448937.jpg,Israël donne son feu vert à l’immigration de 3 000 Ethiopiens
"Le mois dernier, le gendarme britannique de la concurrence avait infligé une amende de 50,5 millions de livres au géant des réseaux sociaux dans le cadre de sa fusion avec Giphy, spécialisé dans les animations courtes sur Internet.",https://img.lemde.fr/2021/11/18/0/144/3453/2302/110/74/60/0/1e470e2_846c296cb77d44f48a34177c63f2de8a-846c296cb77d44f48a34177c63f2de8a-0.jpg,Un régulateur britannique ordonne à Facebook de vendre Giphy
Une start-up basée en France propose de remplacer le xénon par de l’iode dans les systèmes de propulsion électrique des sondes et satellites. Une innovation qui pourrait accompagner la révolution des mégaconstellations.,https://img.lemde.fr/2021/11/19/882/0/1050/695/110/74/60/0/f05f121_611865147-scie-4621-moteur-ionique350px.png,Espace : un nouveau moteur ionique miniature
"Dans sa Carte blanche, la sociologue Anne Bory revient sur une enquête conduite avant la précédente présidentielle, qui éclaire les différentes sensibilités citoyennes vis-à-vis de la démocratie participative.",https://img.lemde.fr/2019/03/09/116/0/3852/2568/110/74/60/0/ff591bb_5398784-01-06.jpg,Pour une démocratie furtive ?
"Alors qu’une majeure partie des personnes souffrant de diabète dans le monde est privée d’insuline, la France se doit d’être motrice pour permettre un accès universel à ce traitement peu coûteux. C’est ce qu’affirme, dans une tribune au « Monde », un collectif, dont Vincent Ledoux, député du Nord, et Stéphane Besançon, directeur général de l’ONG Santé Diabète.",https://img.lemde.fr/2021/11/17/0/5/5694/3796/110/74/60/0/e97f985_127160741-pns-3648975.jpg,« Diabète : rendons l’insuline enfin accessible à tous ! »
Une technique d’électrostimulation permet à des personnes avec un handicap moteur des membres inférieurs de faire du rameur. Un programme national vient d’être lancé.,https://img.lemde.fr/2021/11/22/54/0/1776/1184/110/74/60/0/3b85efb_575381449-werize-he-pha-rower-mobility-2.jpg,Handicap moteur : une solution d’électrostimulation reproduit les mouvements
"Dans une tribune au « Monde », des médecins, chercheurs et patients contestent les conclusions d’une étude récente, selon laquelle les manifestations du Covid long ne seraient pas forcément liées à l’infection par le SARS-CoV-2.",https://img.lemde.fr/2021/11/24/3/0/5455/3636/110/74/60/0/c947cef_341541690-000-9pa8aj.jpg,« Le Covid long est-il vraiment une maladie imaginaire ? »
"Dans leur livre « Pétrole, le déclin est proche », Matthieu Auzanneau et Hortense Chauvin explorent les conséquences de la future pénurie d’or noir.",https://img.lemde.fr/2021/11/23/79/0/345/229/110/74/60/0/8697ad9_884256546-fac41f76-couv-livre-matthieu.jpg,L’avenir du pétrole est derrière lui
L’étude de concrétions prélevées en Chine a permis de préciser l’influence sur la mousson indienne de la fonte de la calotte groenlandaise il y a 140 000 ans.,https://img.lemde.fr/2021/11/19/150/0/3167/2104/110/74/60/0/8db412e_9904791-stalagmit.jpg,Le climat est inscrit dans les stalagmites
"Ji-Young, marionnette américaine d’origine coréenne, va lutter contre les préjugés croissants dont sont victimes les Américains d’origines asiatiques.",https://img.lemde.fr/2021/11/15/0/0/5472/3648/110/74/60/0/caba880_a63332225b7d481b97c9c48bb0961451-a63332225b7d481b97c9c48bb0961451-0.jpg,Une marionnette asiatique dans la légendaire émission américaine « Sesame Street »
"Les autorités dénoncent le non-respect des engagements du G20, qui s’était promis de stimuler les déplacements internationaux.",https://img.lemde.fr/2021/11/27/0/0/4500/3000/110/74/60/0/9e8aac5_5092516-01-06.jpg,L’Afrique du Sud s’estime « injustement discriminée » après l’apparition du variant Omicron
"La Chine est le plus important partenaire commercial du continent, les échanges directs s’étant élevés à plus de 200 milliards de dollars en 2019 selon les autorités chinoises.",https://img.lemde.fr/2021/11/26/8/0/3248/2165/110/74/60/0/6153244_4331669-2018-07-21t165609z-631912184-rc1645cff6f0-rtrmadp-3-senegal-china.JPG,Sommet Chine-Afrique : le Sénégal souhaite un soutien de Pékin au Sahel
"Les miliciens du groupe Codeco, qui prétend défendre les intérêts de la communauté des Lendu de cette province, sont soupçonnés d’être responsables de l’assaut.",https://img.lemde.fr/2021/11/22/0/0/3600/2400/110/74/60/0/6adf46d_5064392-01-06.jpg,RDC : l’attaque d’un camp de déplacés fait vingt-deux morts en Ituri
"Certains voient cette décision comme une « solution provisoire » avant une réorganisation de l’armée congolaise, alors que près de 1 200 civils ont été massacrés dans l’est de la RDC depuis mai, selon un bilan du Baromètre sécuritaire de Kivu.",https://img.lemde.fr/2021/11/16/0/0/4093/2728/110/74/60/0/5edc48f_9c90fa69f8304308a1a6479c68cdd49b-9c90fa69f8304308a1a6479c68cdd49b-0.jpg,"En RDC, l’armée ougandaise autorisée à passer la frontière pour traquer les rebelles ADF"
L’enquête menée par le pôle crimes contre l’humanité du tribunal judiciaire de Paris a pour but de déterminer si un lien entre l’utilisation de la surveillance et la répression peut être démontré.,https://img.lemde.fr/2021/11/23/0/0/3840/2560/110/74/60/0/6bd48fe_222167937-000-8wm32h.jpg,Vente de matériel de cybersurveillance à l’Egypte : la société Nexa Technologies mise en examen
"Plus des deux tiers des expatriés sont aujourd’hui repartis, après avoir fait faillite ou pris peur face aux violences qui ont touché la capitale.",https://img.lemde.fr/2021/11/26/0/0/2784/1856/110/74/60/0/6781584_696672112-dsc3521.jpg,Le pari risqué des Chinois installés au Soudan du Sud
Les promesses de développement qui ont accompagné les distributions de prêts chinois ont cédé la place au spectre de défauts de paiement en série.,https://img.lemde.fr/2021/11/26/0/94/3528/2352/110/74/60/0/c44ea3e_59331871-2021-11-22t060036z-1722433602-rc2obq9adicd-rtrmadp-3-china-africa-lending.JPG,La Chine face au problème de dettes africaines insoutenables
"Le Forum sur la coopération sino-africaine, qui s’ouvre dimanche à Dakar, marque le pas après vingt ans d’expansion chinoise sur le continent.",https://img.lemde.fr/2021/11/26/0/164/3172/2115/110/74/60/0/9a37437_301035848-850615.jpg,"« Chinafrique », l’heure des désillusions"
"Frappé de décroissance depuis trente-six mois, le monde des transports en commun n’a pas encore entamé une réflexion sur les mutations auxquelles il est confronté avec la pandémie.",https://img.lemde.fr/2020/04/26/0/0/3499/2333/110/74/60/0/1a17639_GGG-GFM106_HEALTH-CORONAVIRUS-FRANCE_0426_11.JPG,Le « Covid long » du transport public
